"cell_id","cell_index","regime","regime_label","tau0","n","domain_length","stage","rep","seed","status","error_message","loglik_matern","loglik_iid","delta","selection","fitted_range","fitted_sigma","fitted_beta","range_over_mesh","iid_mean","iid_sigma"
"fixed_domain__tau0_0.2__n_40",1,"fixed_domain","fixed-domain",0.2,40,1,"pilot",1,20360414,"ok",NA,0.387722451471156,-1.36754524621685,1.755267697688,"matern",0.103323015723482,0.140008940083633,0.264851294757863,2.06646031446963,0.26977880104655,0.150643168822764
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",1,20460414,"ok",NA,-25.1533865494222,-24.9648390739773,-0.188547475444857,"iid",1.83554374186895e-10,4391.61136060293,0.4803018843026,3.6710874837379e-09,0.478806807975074,0.404969178581374
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",1,20560414,"ok",NA,-17.7903324163915,-8.83984235664082,-8.95049005975063,"iid",0.00136349183422032,0.000238875408116413,0.274336621259242,0.0272698366844065,0.274336643246949,0.181742696928965
"fixed_domain__tau0_0.5__n_80",4,"fixed_domain","fixed-domain",0.5,80,1,"pilot",1,20660414,"ok",NA,-53.3081539936207,-53.1332670292954,-0.174886964325367,"iid",1.11357939199987e-23,13253244066.2195,0.318911352155721,2.22715878399974e-22,0.316628641759711,0.425453204012937
"fixed_domain__tau0_0.2__n_160",5,"fixed_domain","fixed-domain",0.2,160,1,"pilot",1,20760414,"ok",NA,-47.6147540824701,-24.0134833017121,-23.601270780758,"iid",0.223849351971774,1.74759628917174e-07,0.322140986687873,4.47698703943549,0.322140951775017,0.197603961533732
"fixed_domain__tau0_0.5__n_160",6,"fixed_domain","fixed-domain",0.5,160,1,"pilot",1,20860414,"ok",NA,-130.98714923375,-131.89515747306,0.908008239310391,"matern",0.00658991773883048,0.542693451256495,0.351379660153813,0.13179835477661,0.352540370820206,0.514265024328874
"fixed_domain__tau0_0.2__n_320",7,"fixed_domain","fixed-domain",0.2,320,1,"pilot",1,20960414,"ok",NA,-152.906489389458,-74.8361037516475,-78.07038563781,"iid",0.000118295699122403,6.9425245287e-06,0.304097918844832,0.00236591398244806,0.304097918939443,0.23122832108058
"fixed_domain__tau0_0.5__n_320",8,"fixed_domain","fixed-domain",0.5,320,1,"pilot",1,21060414,"ok",NA,-250.693661402501,-250.192330544467,-0.501330858033725,"iid",6.63208786993183e-28,989811741202.85,0.293918559533045,1.32641757398637e-26,0.293928119966709,0.489552442806655
"increasing_domain__tau0_0.2__n_80",9,"increasing_domain","increasing-domain",0.2,80,1,"pilot",1,21160414,"ok",NA,-4.63659886840189,-4.37178919515505,-0.264809673246845,"iid",0.000165476389105367,1.27676388624976,0.322014499274081,0.00330952778210733,0.322730844526079,0.159096826264399
"increasing_domain__tau0_0.5__n_80",10,"increasing_domain","increasing-domain",0.5,80,1,"pilot",1,21260414,"ok",NA,-68.8568051670851,-68.3792526910027,-0.477552476082366,"iid",0.000817788713322309,1.9452731443649,0.280778894192403,0.0163557742664462,0.28400805185788,0.532495914434769
"increasing_domain__tau0_0.2__n_160",11,"increasing_domain","increasing-domain",0.2,160,2,"pilot",1,21360414,"ok",NA,-34.5854560843418,-17.1327187228259,-17.4527373615159,"iid",0.0186821723992404,1.15377533517863e-06,0.294493934742321,0.373643447984807,0.294493932732072,0.18036818225142
"increasing_domain__tau0_0.5__n_160",12,"increasing_domain","increasing-domain",0.5,160,2,"pilot",1,21460414,"ok",NA,-126.036676070786,-125.66621808772,-0.370457983065705,"iid",0.000267981931021005,3.12756577886129,0.28520350880232,0.00535963862042009,0.284789546334059,0.491590769306469
"increasing_domain__tau0_0.2__n_320",13,"increasing_domain","increasing-domain",0.2,320,4,"pilot",1,21560414,"matern_error","non-finite finite-difference value [1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"increasing_domain__tau0_0.5__n_320",14,"increasing_domain","increasing-domain",0.5,320,4,"pilot",1,21660414,"ok",NA,-220.614592672623,-221.054765107684,0.440172435060902,"matern",0.000727890514770895,1.69206968308755,0.339644058351574,0.0145578102954179,0.341413411653678,0.439432233699865
"increasing_domain__tau0_0.2__n_640",15,"increasing_domain","increasing-domain",0.2,640,8,"pilot",1,21760414,"matern_error","non-finite finite-difference value [1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"increasing_domain__tau0_0.5__n_640",16,"increasing_domain","increasing-domain",0.5,640,8,"pilot",1,21860414,"ok",NA,-518.404558075265,-518.597243910852,0.192685835586872,"matern",2.10615074419571e-33,1146378207592148,0.290842326050563,4.21230148839142e-32,0.291874827576812,0.506003958630974
