"cell_id","regime","regime_label","tau0","n","domain_length","n_total","n_valid","n_error","n_iid","n_matern","n_tie","p_iid","p_matern","p_tie","p_iid_ci_low","p_iid_ci_high","roughly_half","mean_delta","median_delta","q10_delta","q90_delta","q10_range","q50_range","q90_range","matern_selected_count","matern_selected_range_lt_mesh","q10_range_over_mesh_selected","q50_range_over_mesh_selected","q90_range_over_mesh_selected","confirmatory_selected"
"fixed_domain__tau0_0.2__n_40","fixed_domain","fixed-domain",0.2,40,1,1,1,0,0,1,0,0,1,0,0,0.793450685622762,FALSE,1.755267697688,1.755267697688,1.755267697688,1.755267697688,0.103323015723482,0.103323015723482,0.103323015723482,1,0,2.06646031446963,2.06646031446963,2.06646031446963,FALSE
"fixed_domain__tau0_0.2__n_80","fixed_domain","fixed-domain",0.2,80,1,1,1,0,1,0,0,1,0,0,0.206549314377238,1,FALSE,-8.95049005975063,-8.95049005975063,-8.95049005975063,-8.95049005975063,0.00136349183422032,0.00136349183422032,0.00136349183422032,0,NA,NA,NA,NA,FALSE
"fixed_domain__tau0_0.2__n_160","fixed_domain","fixed-domain",0.2,160,1,1,1,0,1,0,0,1,0,0,0.206549314377238,1,FALSE,-23.601270780758,-23.601270780758,-23.601270780758,-23.601270780758,0.223849351971774,0.223849351971774,0.223849351971774,0,NA,NA,NA,NA,FALSE
"fixed_domain__tau0_0.2__n_320","fixed_domain","fixed-domain",0.2,320,1,1,1,0,1,0,0,1,0,0,0.206549314377238,1,FALSE,-78.07038563781,-78.07038563781,-78.07038563781,-78.07038563781,0.000118295699122403,0.000118295699122403,0.000118295699122403,0,NA,NA,NA,NA,FALSE
"fixed_domain__tau0_0.5__n_40","fixed_domain","fixed-domain",0.5,40,1,1,1,0,1,0,0,1,0,0,0.206549314377238,1,FALSE,-0.188547475444857,-0.188547475444857,-0.188547475444857,-0.188547475444857,1.83554374186895e-10,1.83554374186895e-10,1.83554374186895e-10,0,NA,NA,NA,NA,FALSE
"fixed_domain__tau0_0.5__n_80","fixed_domain","fixed-domain",0.5,80,1,1,1,0,1,0,0,1,0,0,0.206549314377238,1,FALSE,-0.174886964325367,-0.174886964325367,-0.174886964325367,-0.174886964325367,1.11357939199987e-23,1.11357939199987e-23,1.11357939199987e-23,0,NA,NA,NA,NA,FALSE
"fixed_domain__tau0_0.5__n_160","fixed_domain","fixed-domain",0.5,160,1,1,1,0,0,1,0,0,1,0,0,0.793450685622762,FALSE,0.908008239310391,0.908008239310391,0.908008239310391,0.908008239310391,0.00658991773883048,0.00658991773883048,0.00658991773883048,1,1,0.13179835477661,0.13179835477661,0.13179835477661,FALSE
"fixed_domain__tau0_0.5__n_320","fixed_domain","fixed-domain",0.5,320,1,1,1,0,1,0,0,1,0,0,0.206549314377238,1,FALSE,-0.501330858033725,-0.501330858033725,-0.501330858033725,-0.501330858033725,6.63208786993183e-28,6.63208786993183e-28,6.63208786993183e-28,0,NA,NA,NA,NA,FALSE
"increasing_domain__tau0_0.2__n_80","increasing_domain","increasing-domain",0.2,80,1,1,1,0,1,0,0,1,0,0,0.206549314377238,1,FALSE,-0.264809673246845,-0.264809673246845,-0.264809673246845,-0.264809673246845,0.000165476389105367,0.000165476389105367,0.000165476389105367,0,NA,NA,NA,NA,FALSE
"increasing_domain__tau0_0.2__n_160","increasing_domain","increasing-domain",0.2,160,2,1,1,0,1,0,0,1,0,0,0.206549314377238,1,FALSE,-17.4527373615159,-17.4527373615159,-17.4527373615159,-17.4527373615159,0.0186821723992404,0.0186821723992404,0.0186821723992404,0,NA,NA,NA,NA,FALSE
"increasing_domain__tau0_0.2__n_320","increasing_domain","increasing-domain",0.2,320,4,1,0,1,0,0,0,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,FALSE
"increasing_domain__tau0_0.2__n_640","increasing_domain","increasing-domain",0.2,640,8,1,0,1,0,0,0,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,FALSE
"increasing_domain__tau0_0.5__n_80","increasing_domain","increasing-domain",0.5,80,1,1,1,0,1,0,0,1,0,0,0.206549314377238,1,FALSE,-0.477552476082366,-0.477552476082366,-0.477552476082366,-0.477552476082366,0.000817788713322309,0.000817788713322309,0.000817788713322309,0,NA,NA,NA,NA,FALSE
"increasing_domain__tau0_0.5__n_160","increasing_domain","increasing-domain",0.5,160,2,1,1,0,1,0,0,1,0,0,0.206549314377238,1,FALSE,-0.370457983065705,-0.370457983065705,-0.370457983065705,-0.370457983065705,0.000267981931021005,0.000267981931021005,0.000267981931021005,0,NA,NA,NA,NA,FALSE
"increasing_domain__tau0_0.5__n_320","increasing_domain","increasing-domain",0.5,320,4,1,1,0,0,1,0,0,1,0,0,0.793450685622762,FALSE,0.440172435060902,0.440172435060902,0.440172435060902,0.440172435060902,0.000727890514770895,0.000727890514770895,0.000727890514770895,1,1,0.0145578102954179,0.0145578102954179,0.0145578102954179,FALSE
"increasing_domain__tau0_0.5__n_640","increasing_domain","increasing-domain",0.5,640,8,1,1,0,0,1,0,0,1,0,0,0.793450685622762,FALSE,0.192685835586872,0.192685835586872,0.192685835586872,0.192685835586872,2.10615074419571e-33,2.10615074419571e-33,2.10615074419571e-33,1,1,4.21230148839142e-32,4.21230148839142e-32,4.21230148839142e-32,FALSE
