"n","link","elapsed_sec","setup_elapsed_sec","n_spde","backend","laplace_implementation","tmb_mode_source","fitted_noise_sd","log_likelihood","error"
100,"identity",1.515,0.333,895,"exact",NA,NA,0.0970275558522803,14.6921987172142,NA
100,"log",41.23,0.333,895,"laplace_fisher","tmb","last.par.best",0.121364507823096,12.5245125246915,NA
100,"softplus",34.74,0.333,895,"laplace","tmb","last.par.best",0.105802715021637,13.6757216933087,NA
250,"identity",1.554,0.381,930,"exact",NA,NA,0.127420900964726,81.761611087329,NA
250,"log",62.893,0.381,930,"laplace_fisher","tmb","last.par.best",0.128406810578679,78.4806660001664,NA
250,"softplus",54.415,0.381,930,"laplace","tmb","last.par.best",0.12753908493317,80.3308760707364,NA
500,"identity",1.084,0.349000000000018,1050,"exact",NA,NA,0.133299914627074,197.841678577202,NA
500,"log",62.174,0.349000000000018,1050,"laplace_fisher","tmb","last.par.best",0.134477758483321,191.354316959465,NA
500,"softplus",44.367,0.349000000000018,1050,"laplace","tmb","last.par.best",0.133861206664858,194.813400370695,NA
1000,"identity",2.16800000000001,0.342999999999961,1530,"exact",NA,NA,0.151827863036623,367.989515185704,NA
1000,"log",119.151,0.342999999999961,1530,"laplace_fisher","tmb","last.par.best",0.151442584021346,363.010622201011,NA
1000,"softplus",118.864,0.342999999999961,1530,"laplace","tmb","last.par.best",0.151598177503754,365.923580258417,NA
1500,"identity",5.26700000000005,0.408999999999992,2127,"exact",NA,NA,0.144564187587119,641.460261641327,NA
1500,"log",250.881,0.408999999999992,2127,"laplace_fisher","tmb","last.par.best",0.144309231585821,633.352036173913,NA
