"rep","seed","stage","aligned_component","true_component_type","loading_cor","factor_cor","loading_mse","factor_mse"
1,20260419,"original",1,"spatial",0.0434850363328913,-0.0885353299562002,0.0310256872085129,385.875008484113
1,20260419,"original",2,"spatial",0.919280382682797,0.97869398315849,0.00188050245335758,0.467511128193907
1,20260419,"original",3,"nonspatial",0.996214596522336,0.999402987570021,0.000124527142493377,0.141909291491068
1,20260419,"selective",1,"spatial",0.0434847314366007,-0.0883117288365912,0.0310257987945705,386.754442311993
1,20260419,"selective",2,"spatial",0.925138179171189,0.954684476085226,0.00176884898043057,0.626064499574199
1,20260419,"selective",3,"nonspatial",0.994729468221188,0.999198531067412,0.000669371374544642,0.188771989064919
2,20260420,"original",1,"spatial",0.548233130627066,0.253679997860956,0.0145387184340106,40.7006480438592
2,20260420,"original",2,"spatial",0.74427454227496,0.830273424090874,0.00559563357194423,2.18108933033979
2,20260420,"original",3,"nonspatial",0.857852547967946,0.970449467556499,0.00452149687882921,3.03521111764804
2,20260420,"original",4,"nonspatial",0.888220461837684,0.950693930469052,0.00345267292512577,5.55131418997113
2,20260420,"selective",1,"spatial",0.738596642705218,0.292330746113035,0.00828155589266885,38.9844240281745
2,20260420,"selective",2,"spatial",0.744278803200818,0.699991348147333,0.00559555673224949,7.63019051602258
2,20260420,"selective",3,"nonspatial",0.857851940043917,0.987191086131847,0.00452154009995491,1.06967308289513
2,20260420,"selective",4,"nonspatial",0.436484426198556,0.971006879802076,0.0180756323345519,8.2323460522122
