"rep","seed","prior_mode","noise_sd","status","error_message","loglik_matern","loglik_nonspatial","delta","selection","fitted_range","fitted_sigma","fitted_beta_matern","fitted_noise_sd_matern","fitted_beta_nonspatial","fitted_noise_sd_nonspatial"
1,20260420,"none",0.2,"ok",NA,17.796610912359,17.7966410589731,-3.01466140477658e-05,"nonspatial",0.0288292461426018,0.00371263510811022,0.193806683849862,0.208602921012669,0.193806379848802,0.208619371715015
2,20260421,"none",0.2,"ok",NA,20.5832224110269,17.1643991416987,3.41882326932824,"matern",0.000122302083135085,75.198424745049,0.160511607876214,0.00197387083304043,0.156786881458782,0.209721421604207
3,20260422,"none",0.2,"ok",NA,28.8607767087502,28.8607767087509,-6.75015598972095e-13,"tie",0.00745506392725483,8.5410781637109e-12,0.230825161924949,0.190244559872862,0.230825161924949,0.190244535425519
4,20260423,"none",0.2,"ok",NA,19.6555001892709,19.6556370585656,-0.000136869294685482,"nonspatial",0.0358632869009655,0.00891884009687902,0.216051306096067,0.205325611376775,0.216050399919909,0.205412421487662
5,20260424,"none",0.2,"ok",NA,19.5441500563416,19.5441866172084,-3.65608668388973e-05,"nonspatial",0.020713517421062,0.00486368260828606,0.183268918319585,0.205570542039396,0.183268733023498,0.205603287649726
6,20260425,"none",0.2,"ok",NA,14.6661206579327,14.6655752780602,0.000545379872592733,"matern",0.0356176629817776,0.0110855587245504,0.192625859617694,0.21398556307479,0.192626284400737,0.214134349290456
1,20260420,"pc",0.2,"ok",NA,9.95997057751083,17.7966410589731,-7.83667048146225,"nonspatial",0.437970260111077,0.0558067231442127,0.19951701630978,0.204595990426079,0.193806379848802,0.208619371715015
2,20260421,"pc",0.2,"ok",NA,8.72880642033851,17.1643991416987,-8.43559272136014,"nonspatial",0.416452789890156,0.0359614653858863,0.156545758215876,0.209635471702232,0.156786881458782,0.209721421604207
3,20260422,"pc",0.2,"ok",NA,24.5093288569537,28.8607767087509,-4.35144785179717,"nonspatial",0.340232502998511,0.102351256537067,0.241410982919181,0.163526979207114,0.230825161924949,0.190244535425519
4,20260423,"pc",0.2,"ok",NA,11.3398743412563,19.6556370585656,-8.31576271730928,"nonspatial",0.476690629235922,0.0386220365247804,0.213029007261401,0.204762168683072,0.216050399919909,0.205412421487662
5,20260424,"pc",0.2,"ok",NA,11.4823474516647,19.5441866172084,-8.06183916554369,"nonspatial",0.496818188761334,0.0464661232904321,0.178650526352853,0.203592918044557,0.183268733023498,0.205603287649726
6,20260425,"pc",0.2,"ok",NA,6.3847431075751,14.6655752780602,-8.28083217048505,"nonspatial",0.425862112744594,0.0397897221729599,0.192183860496303,0.213441845579424,0.192626284400737,0.214134349290456
